z,mass,mass_err,SFR,sSFR,Z_Mannucci,Z_Dopita,deltaZ,Z_R23,Z_NHa,q,surf_bright,HaHb,bdec_frac_err,logR23,logNHa,OIII/OII,NII/OII,OIII/SII,NII/SII,Hbeta_ratio,Hdelta_eqw,D4000,vdisp,A_v
0.115,10.494,0.256,0.594,-9.901,9.029,9.106,0.077,8.992,9.066,7.922,19.815,4.487,0.022,0.425,-0.393,-0.452,-0.198,-0.080,0.174,0.362,6.165,1.166,67.383,2.238
0.122,10.608,0.169,0.120,-10.487,9.029,9.237,0.209,9.082,8.975,7.177,20.292,4.212,0.061,0.278,-0.463,-0.930,-0.223,-0.433,0.274,0.810,5.770,1.317,116.847,1.498
0.123,11.029,0.192,0.578,-10.451,9.015,9.179,0.164,9.015,0.000,7.194,19.445,5.019,0.048,0.391,-0.345,-0.923,-0.200,-0.566,0.157,0.760,5.284,1.323,180.203,1.059
0.121,10.463,0.199,0.079,-10.384,9.064,9.174,0.110,9.069,9.059,7.300,20.636,5.349,0.103,0.301,-0.398,-0.838,-0.139,-0.544,0.155,0.546,4.628,1.328,89.758,0.888
0.092,10.085,0.195,-0.653,-10.738,9.060,9.083,0.024,9.073,9.046,7.481,20.828,3.763,0.085,0.294,-0.407,-0.701,-0.135,-0.518,0.048,0.642,6.029,1.254,35.020,1.210
0.126,10.755,0.207,-0.038,-10.793,9.100,9.237,0.138,9.100,0.000,7.308,20.691,4.697,0.080,0.246,-0.345,-0.851,-0.060,-0.548,0.243,0.837,3.247,1.410,84.804,1.379
0.091,10.681,0.210,-0.297,-10.978,8.971,9.049,0.078,8.896,9.046,7.159,20.504,4.785,0.079,0.554,-0.407,-0.838,-0.425,-0.374,0.039,0.576,3.432,1.522,123.096,1.038
0.155,10.805,0.197,-0.044,-10.850,9.067,9.156,0.089,9.129,9.006,7.349,20.390,4.077,0.081,0.190,-0.437,-0.810,-0.100,-0.589,0.121,0.741,3.058,1.381,127.470,0.758
0.153,10.904,0.190,0.121,-10.783,9.068,9.209,0.141,9.068,0.000,7.356,20.355,4.312,0.083,0.303,-0.353,-0.799,-0.118,-0.456,0.224,0.546,3.679,1.299,174.899,0.764
0.091,10.554,0.187,0.000,-10.553,9.034,9.175,0.141,9.107,8.961,7.366,20.269,5.055,0.047,0.233,-0.475,-0.776,-0.164,-0.429,0.184,0.635,4.568,1.288,88.866,1.491
0.098,10.355,0.171,0.272,-10.083,8.987,9.108,0.120,9.029,8.946,7.168,20.233,4.663,0.028,0.369,-0.488,-0.884,-0.331,-0.461,0.091,0.433,6.577,1.230,72.526,2.368
0.098,10.263,0.188,-0.048,-10.311,8.918,8.997,0.080,8.880,8.955,7.075,20.756,4.638,0.049,0.572,-0.480,-0.871,-0.513,-0.384,-0.026,0.425,3.077,1.245,123.162,1.557
0.149,11.240,0.202,0.436,-10.804,9.010,9.194,0.184,9.010,0.000,7.311,19.756,5.588,0.106,0.398,-0.363,-0.798,-0.229,-0.334,0.234,0.492,2.003,1.523,239.453,1.103
0.099,10.729,0.273,-0.155,-10.884,8.972,9.056,0.084,8.921,9.024,7.245,20.738,4.661,0.056,0.523,-0.423,-0.754,-0.404,-0.282,0.067,0.503,4.205,1.414,114.328,2.021
0.122,10.488,0.204,0.123,-10.365,9.139,9.314,0.175,9.139,0.000,7.138,20.814,4.893,0.064,0.170,-0.327,-1.033,-0.004,-0.710,0.319,0.456,4.934,1.368,81.061,0.892
0.143,10.434,0.174,-0.009,-10.444,8.943,9.007,0.064,8.950,8.937,7.124,20.699,4.080,0.061,0.485,-0.497,-0.856,-0.455,-0.424,-0.023,0.789,7.185,1.259,100.061,0.550
0.091,10.131,0.186,-0.816,-10.947,8.933,8.995,0.062,8.967,8.900,6.549,20.986,4.009,0.106,0.462,-0.534,-1.631,-0.482,-1.390,-0.241,0.864,5.600,1.360,15.065,0.385
0.150,10.922,0.200,0.314,-10.607,9.073,9.267,0.194,9.073,0.000,7.174,20.266,4.807,0.064,0.294,-0.388,-0.959,-0.156,-0.501,0.302,0.628,2.072,1.336,151.806,0.671
0.089,9.817,0.251,0.000,-9.817,8.835,8.824,-0.010,8.862,8.807,7.144,20.589,4.270,0.039,0.592,-0.633,-0.693,-0.667,-0.179,-0.154,0.288,6.396,1.212,37.623,0.874
0.099,9.939,0.157,-0.250,-10.190,8.964,9.008,0.044,8.993,8.935,7.337,20.711,3.927,0.054,0.424,-0.499,-0.700,-0.363,-0.341,-0.004,0.396,5.704,1.224,14.270,0.929
0.135,10.883,0.182,0.594,-10.289,9.078,9.203,0.125,9.106,9.051,7.405,19.488,4.521,0.034,0.235,-0.403,-0.770,-0.091,-0.465,0.214,0.435,4.676,1.279,111.077,0.703
0.080,9.841,0.172,-0.577,-10.418,8.804,8.796,-0.008,8.752,8.856,6.992,20.636,3.953,0.066,0.698,-0.579,-0.820,-0.742,-0.276,-0.199,0.588,3.198,1.242,48.272,0.585
0.144,10.873,0.206,0.324,-10.549,8.981,9.072,0.092,9.005,8.956,7.173,20.386,6.095,0.174,0.405,-0.479,-0.860,-0.363,-0.446,0.051,0.923,4.311,1.542,136.090,1.309
0.080,10.365,0.200,0.258,-10.107,8.915,8.983,0.068,8.930,8.900,7.178,19.890,4.450,0.024,0.511,-0.533,-0.765,-0.498,-0.289,-0.022,0.336,5.705,1.223,62.590,2.011
0.144,10.994,0.252,0.173,-10.821,8.865,9.262,0.398,8.865,0.000,6.971,20.792,6.016,0.180,0.589,-0.352,-1.061,-0.421,-0.279,0.361,0.972,1.854,1.319,130.460,1.287
0.080,9.612,0.154,-0.487,-10.099,8.783,8.749,-0.034,8.770,8.796,7.238,21.047,3.604,0.042,0.683,-0.646,-0.544,-0.728,-0.009,-0.192,0.322,3.633,1.144,87.456,0.402
0.145,10.654,0.179,0.407,-10.246,9.027,9.184,0.157,9.062,8.991,7.139,20.126,4.637,0.055,0.313,-0.449,-0.963,-0.236,-0.564,0.164,0.494,4.061,1.249,92.694,0.720
0.144,10.496,0.184,0.061,-10.435,9.044,9.157,0.113,9.056,9.032,7.346,20.634,4.060,0.068,0.323,-0.417,-0.781,-0.195,-0.425,0.161,0.954,7.515,1.277,60.226,1.697
0.126,10.528,0.201,0.205,-10.323,8.960,9.187,0.227,8.997,8.923,6.843,20.677,5.603,0.097,0.417,-0.511,-1.213,-0.454,-0.599,0.160,0.625,1.823,1.363,153.704,1.329
0.120,10.619,0.204,-0.155,-10.774,9.039,9.199,0.159,9.147,8.931,7.167,21.066,5.669,0.179,0.153,-0.503,-0.979,-0.115,-0.716,0.148,0.831,3.881,1.605,43.961,0.872
